iter	Passed	Remaining
0	34	6866
1	67	6699
2	112	7393
3	146	7180
4	183	7169
5	219	7094
6	258	7125
7	297	7135
8	334	7104
9	367	6979
10	416	7148
11	449	7035
12	499	7182
13	533	7083
14	565	6978
15	603	6942
16	642	6920
17	676	6840
18	713	6801
19	749	6749
20	784	6690
21	822	6653
22	858	6604
23	892	6545
24	918	6426
25	961	6437
26	1002	6425
27	1048	6442
28	1088	6418
29	1124	6374
30	1159	6320
31	1194	6272
32	1232	6234
33	1268	6194
34	1309	6174
35	1351	6156
36	1389	6121
37	1427	6087
38	1468	6061
39	1506	6025
40	1562	6057
41	1599	6016
42	1652	6032
43	1685	5977
44	1720	5926
45	1757	5882
46	1809	5891
47	1845	5844
48	1887	5815
49	1921	5764
50	1957	5720
51	1994	5677
52	2035	5646
53	2071	5599
54	2117	5582
55	2153	5537
56	2187	5488
57	2219	5433
58	2260	5401
59	2294	5353
60	2332	5316
61	2367	5269
62	2403	5227
63	2437	5179
64	2473	5137
65	2511	5098
66	2553	5069
67	2586	5021
68	2634	5001
69	2667	4953
70	2701	4908
71	2734	4862
72	2770	4819
73	2807	4780
74	2841	4735
75	2875	4691
76	2909	4647
77	2944	4605
78	2988	4576
79	3038	4558
80	3092	4543
81	3145	4526
82	3196	4506
83	3240	4474
84	3284	4443
85	3326	4409
86	3370	4378
87	3412	4343
88	3451	4305
89	3489	4265
90	3509	4203
91	3548	4165
92	3595	4137
93	3637	4101
94	3682	4070
95	3724	4034
96	3766	3999
97	3807	3963
98	3852	3930
99	3894	3894
100	3938	3860
101	3982	3826
102	4025	3791
103	4066	3753
104	4107	3715
105	4149	3680
106	4192	3644
107	4232	3605
108	4272	3566
109	4312	3528
110	4358	3494
111	4399	3456
112	4441	3419
113	4481	3380
114	4521	3341
115	4563	3304
116	4608	3269
117	4651	3232
118	4692	3194
119	4738	3159
120	4780	3121
121	4824	3084
122	4875	3051
123	4915	3012
124	4960	2976
125	5004	2939
126	5045	2900
127	5094	2865
128	5135	2826
129	5177	2787
130	5221	2750
131	5261	2710
132	5301	2670
133	5339	2629
134	5376	2588
135	5419	2550
136	5465	2513
137	5506	2474
138	5550	2435
139	5597	2398
140	5638	2359
141	5683	2321
142	5739	2287
143	5790	2251
144	5845	2217
145	5885	2176
146	5919	2134
147	5954	2091
148	5991	2050
149	6027	2009
150	6066	1968
151	6101	1926
152	6139	1886
153	6171	1843
154	6211	1803
155	6246	1761
156	6285	1721
157	6319	1679
158	6355	1638
159	6390	1597
160	6431	1558
161	6467	1516
162	6505	1476
163	6543	1436
164	6589	1397
165	6626	1357
166	6666	1317
167	6699	1276
168	6744	1237
169	6783	1197
170	6817	1156
171	6850	1115
172	6897	1076
173	6931	1035
174	6973	996
175	7007	955
176	7043	915
177	7076	874
178	7118	835
179	7151	794
180	7186	754
181	7221	714
182	7257	674
183	7291	634
184	7333	594
185	7382	555
186	7419	515
187	7453	475
188	7506	436
189	7545	397
190	7584	357
191	7622	317
192	7659	277
193	7695	238
194	7738	198
195	7778	158
196	7818	119
197	7854	79
198	7889	39
199	7926	0
